label,review
0,"送餐人员智商为0,气死人不偿命啊"
1,太爱吃了，经常定，速度特快
0,明明卤香鸡腿17元送到后19元，而且鸡腿上有头发。
1,"印象最深的是,拉开窗帘时的感觉--外面是一高尔夫球场--很惬意!房间也不错,就是停车不太方便--太远了,刚好又碰到下雨."
0,和前几次味道完全不一样，只有辣味，什么味道都没有，我又让家人回锅加的盐和鸡精，这样才凑活能吃，菜里点的脆皮肠没找到一个整的，其他的菜也是烂乎乎的，正让怀疑是别人吃剩的，以后不会再吃这个了！！
1,菜还行，送餐的路不熟，一个小时才到
0,泡馍送到汤全没了。坨成一团没法吃。勾魂凉皮难吃至极佐料都没放什么味道都没有。除了辣什么味道也没有。不会再来买饭。贵品质差
1,第一次从网上订房确实很迷茫，不知道住哪家比较好，通过看携程的介绍加其他住过的客人评价，最后还是选择了离火车站最近的城市青年酒店，事实证明我的选择时正确的。总体来说我对本次的旅程非常满意，酒店整体设施比较完备，环境较好，最主要是方便快捷，如果说下次旅行选择订酒店，我还会选择城市青年。
0,酸辣土豆丝为何放那么多生姜！
0,"将近两个小时才送到,距离不到一站地,我真呵呵了,无语"
0,送餐慢，味道一般，一点都不值20块，牛肉的根本没出来肉啊
1,"很好,很方便"
0,餐都没送来餐厅就确认送达了，服务太差了。一个多小时了还没送到，果断退了。
1,"房间设备太破,连喷头都是不好用,空调几乎感觉不到,虽然我开了最大另外就是设备维修不及时,洗澡用品感觉都是廉价货,味道很奇怪的洗头液等等...总体感觉服务还可以,设备招待所水平..."
1,房间比较大，服务不错。早餐东西少，卫生间马桶经常堵，报修后反应比较快。
0,天宇也就占了个位置还可以到光，内部设施和消耗品配备，实在是不怎么样，而且，很贵
1,还送了两本书！包装也很完好.比在店里买还好！
0,我要求里写了要安静的房间。。谁知道那天住在6楼，外面的风，凄惨的吹着，声音很大，一个小时才入睡。让酒店换房间。他们说，酒店周围没有树，每间房间声音都很大。。赫赫，这里理由么？看来下次，起风的时候就不能去住了。
1,配送员师傅很快态度很好
1,"酒店大堂不错,房间设施也物有所值,服务员态度非常好"
0,前台服务态度不好，不能替客户考虑，宾馆装修，噪音很大，
1,"房间设施可以,但空间偏小,客房电梯很特别(没房卡上不去),很适合某些人使用(偷吃).....前台服务一般...."
1,房间非常大，都吓了一大跳。对面就有超市和小吃夜市，隔壁有面包房，十分方便。从客运总站出来直接乘1路公共汽车（始发站）刻刀，站名就是“少林宾馆”。坐蹦蹦车也只要2块。房内设施是不错的，但朝马路的那边也吵，朝内侧的有个停车场也吵。早饭是工厂食堂标准，所以只打4分。
0,送的看起来是蒜苗炒肉
1,配送很快！点赞，凑够十个字
0,两个半小时才到，问商家说配送员11点出去的，一点才到这是去送全北京的外卖了吗？问起来就各种找理由，又是单子多又是第一个送的我的，我十点半定的也不算晚吧！就不信两个半小时都送不到！
1,每次都棒哒哒的！超赞！
0,等了五十分钟，受不了的龟速
0,"一般,不咋好吃,送的也不快"
0,路远了一点（离店3公里）打电话来说需要打车费30，我认了，餐送到了后竟然加价45，人的诚信在哪里。
0,感谢送餐员大下雨就来
1,快递阿姨很好，速度快！
0,差评！没见过比这更慢得外卖，差评！而且还难吃。！
0,这次的排骨极其不新鲜！
1,这次送餐很快
1,该死的写程，我打2分根本发表不了评论！这次我给你打4分，但还是实话实说，这个酒店不咋样，给我二楼最里间的房子，紧靠锅炉房，木结构的房子里面烧锅炉，多可怕啊！当时看写程的评论写的天花乱坠，原来都是假的，给低分的评论根本发表不了，真假。
0,价贵，量少，味道一般，以后不会再来了！
1,最喜欢房间内的卫生间。大大的浴缸。浴缸内也带花洒。很方便。独立的淋浴房空间也很大。以后还会选择的
0,"等了一个半钟头,垃圾"
0,太脏，停车场太小，建议携程不要推荐这样的旅馆
0,呵呵吧。这配送。简直了。没下次了
1,热干面不好吃。。鹌鹑皮蛋调料汁味道好怪，其它的还挺好，派送员服务很好！
1,酒店位置不错，近皇岗口岸，房间也还好，床比较舒适，就是有些小。
0,第一次接触速8酒店，感觉比较失望。相比以往接触过的如家、7days、锦江之星等连锁经济酒店，感觉速8无论从硬件到软件都还很有差距。房间小得出乎想象，设施也比较陈旧。服务人员的态度尚算和善，但还是比较呆板僵硬，丝毫没有体现出全球连锁酒店员工的职业素养。
0,"酒店除了地理位置靠近火车站(50米)以外,没有任何可圈可点之处了,房间还算干净,但是设备和面积都不是很符合性价比,卫生间的马桶还有时堵塞;房费里包含的自助早餐更是差,还没到早餐结束时间,所有的盘子就都空了,只剩下咸菜和牛奶了...下次不会再住了."
0,"一般,没有吉野家好吃,，,饭太多菜太少"
0,7块钱的拌饭真的是不好吃啊！
1,好吃的点心就属稻香村了！骑士送货很快，服务热情！赞一个！
1,整体看还行，只是相对这个价位，酒店提供的服务还不够。早餐太简易。所谓的湖景不湖景的根本没有区别，因为看不到。
1,"挺好味道比较淡,还好给了盒榨菜,还不错"
0,这是本人用携程预定的最糟糕的酒店，建议取消该酒店的合作。
1,房间还是不错的，住的枫丹白露，房间很大，比较有特色，有比较齐全的厨房设备，如果一家人出去玩可以买一些简单的食物自己烹调。不过服务要差一些，我们住了两天居然没有人来打扫房间，住了很多家酒店只有这家是这样的。后来问了前台，前台答复这里主要是会所，不太有经验。总体来说态度还是不错的。早餐比较差，除了包子就是花卷，两天都是这样，一碗白粥、一杯牛奶，因此三天的正餐都不敢在这里吃。还好离县城不远可以选择到县城吃，或在路口吃农家饭。不过出去玩住着还不错，很安静，周围都是别墅，门口有保安，相对安全，走出去不远就是红螺湖，我们沿着山路开车上去，走到有水的地方就停下休息，玩的很好。怀柔人民越来越会做生意，凡是能停车的水边全都有人“把守”，需要按人头收费才能玩，每人5元，价钱不高，但总让人有点感慨。总的来说五一还是很愉快。酒店人不多，下次可能还会选择。
0,"我能说我没有吃过这么。。。。算了一人一口味,等了一个多小时真的太失望了。第一次吃也是最后一次了。。。"
0,送餐员让我自己下去取的，天气热，疲惫可以理解，但是拌饭缩水了略失望
